,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,winRate,killsPerGame,deathsPerGame,assistsPerGame,hitRate,headshotRate,winRateAlt,kdRatioAlt
106,ownED#4592237,212,4581,0.8455149501661129,14,51,14,62,16826,498,722,2.677419354838709,186,1117,66674,819607,208.4313253012048,83500,5418,0.9380530973451328,24.629032258064516,29.129032258064516,6.005376344086022,0.20150898203592815,0.008646706586826347,4.902027853217693,4.4184469384053475
108,yX PieT Xy#6264334,7,26,0.7222222222222222,0,5,0,110,0,18,7,18.0,0,3,0,19635,0.0,0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,LIangxxx#4226202,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,CannedBread93#2332353,19,338,0.8871391076115486,7,10,2,0,1459,28,41,3.111111111111111,9,60,5546,52525,335.4642857142857,7005,381,0.9047619047619048,37.55555555555556,42.333333333333336,6.666666666666667,0.20827980014275518,0.005852962169878658,1.9879650937803892,1.949243850760216
112,Andy_Ferr_Artist#1046989,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,lowher#1074214,0,4,0.4,0,2,0,110,0,5,2,5.0,0,3,0,3650,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2SaucyBoii#9086331,578,5218,1.0469502407704654,15,79,13,110,17957,899,1237,3.79324894514768,237,750,77925,1228362,166.59110122358177,95882,4984,0.9780033840947546,22.0168776371308,21.029535864978904,3.1645569620253164,0.18728228447466677,0.012901274483218957,5.3477813224638,5.724786881308811
116,G-EVER#4292742,159,245,0.5593607305936074,9,16,2,4,308,175,38,17.5,10,23,1558,105145,76.88914285714286,1866,438,0.9875776397515528,24.5,43.8,2.3,0.16505894962486603,0.020364415862808145,2.2739815514661696,1.2879756798710988
118,ELITOMxtreme13,0,7,1.1666666666666667,0,2,0,0,0,3,1,3.0,0,0,0,5278,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,LamerGamer11#6047414,223,5228,0.8627062706270627,11,50,11,110,21030,491,886,2.3492822966507183,209,1025,91560,805992,261.10264765784115,112590,6060,0.9529914529914529,25.014354066985646,28.995215311004785,4.904306220095694,0.18678390620836663,0.007869260147437605,5.091198881145952,4.608865258955781
120,pops59,35,210,0.8641975308641975,14,16,3,2,427,59,50,4.214285714285714,14,39,4124,106999,154.22033898305085,4551,243,0.9210526315789473,15.0,17.357142857142858,2.7857142857142856,0.0938255328499231,0.010986596352450011,2.430710698329843,2.280666828062569
121,Savage6ixBuffalo#6138644,144,4986,0.8715259570005244,13,53,8,110,7106,465,656,3.75,124,701,47393,912251,179.59741935483868,54499,5721,0.9473684210526315,40.20967741935484,46.13709677419355,5.653225806451613,0.13038771353602818,0.012036918108589149,4.566582535836351,4.201000504475916
122,Wolffe_1st_Recon#6733591,251,5010,0.7534967664310422,12,55,9,18,13895,458,860,3.013157894736842,152,1167,65429,958745,235.6598253275109,79324,6649,0.9653846153846154,32.96052631578947,43.74342105263158,7.677631578947368,0.17516766678432757,0.010841611618173567,4.849976964355444,3.7854777273935696
